Domain,Company,Website,Location,Contact,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size
Mobile App Development,Hyperlink InfoSystem,https://www.hyperlinkinfosystem.com/,"Ahmedabad, India",+91.8000.161.161,4.86,85 reviews,< $25 / hr,"$10,000+",250 - 999
Mobile App Development,"Rightpoint, a Genpact Company",https://www.rightpoint.com/,"Chicago, IL",312 920 8383,4.88,20 reviews,$150 - $199 / hr,"$250,000+",250 - 999
Mobile App Development,Mercury Development,https://mercurydevelopment.com,"Aventura, FL",917.470.1404,4.98,22 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Mobile App Development,Swenson He,https://swensonhe.com/,"Beverly Hills, CA",4244652525,4.76,19 reviews,$100 - $149 / hr,"$25,000+",10 - 49
Mobile App Development,Algoworks,http://www.algoworks.com/,"Sunnyvale, CA",8772841028,4.94,62 reviews,$25 - $49 / hr,"$5,000+",250 - 999
Mobile App Development,Blue Label Labs,https://goo.gl/ra5nnC,"New York, NY",2078905983,4.76,44 reviews,$100 - $149 / hr,"$75,000+",50 - 249
Mobile App Development,Netguru,https://www.netguru.com/services/,"Poznań, Poland",442038713389,4.79,40 reviews,$50 - $99 / hr,"$25,000+",250 - 999
Mobile App Development,Appinventiv,https://appinventiv.com/,"Manhattan, NY",+1 646.585.0501,4.75,71 reviews,$25 - $49 / hr,"$10,000+",250 - 999
Mobile App Development,itCraft,https://itcraftapps.com/,"Warszawa, Poland",+1 646 630 9053,4.97,45 reviews,$50 - $99 / hr,"$50,000+",50 - 249
Mobile App Development,Miquido,https://www.miquido.com/,"Kraków, Poland",+48 536 083 559,4.84,34 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Mobile App Development,techahead,https://www.techaheadcorp.com/,"Agoura Hills, CA",+1 818-318-0727,4.75,62 reviews,$25 - $49 / hr,"$25,000+",50 - 249
Mobile App Development,Sidebench,https://sidebench.com/,"Santa Monica, CA",310.893.3589,4.93,36 reviews,$150 - $199 / hr,"$50,000+",50 - 249
Mobile App Development,Orangesoft,https://orangesoft.co/,"San Francisco, CA",+1-424-208-02-09,4.98,21 reviews,$25 - $49 / hr,"$25,000+",50 - 249
Mobile App Development,Utility,https://utilitynyc.com/,"New York, NY",(212) 328-1167,4.76,25 reviews,$100 - $149 / hr,"$50,000+",50 - 249
Mobile App Development,December Labs,https://www.decemberlabs.com/,"Houston, TX",+1 (713) 3642150,4.95,21 reviews,$50 - $99 / hr,"$10,000+",50 - 249
Mobile App Development,CodigoDelSur,http://codigodelsur.com/,"Montevideo, Uruguay",59823378873,4.77,35 reviews,$50 - $99 / hr,"$100,000+",50 - 249
Mobile App Development,Infinum,https://infinum.co/,"New York City, NY",+1 (917) 838-2194,4.81,37 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Mobile App Development,Cheesecake Labs,https://cheesecakelabs.com/,"San Francisco, CA",4156916007,4.87,35 reviews,$50 - $99 / hr,"$50,000+",50 - 249
Mobile App Development,3 SIDED CUBE,https://3sidedcube.com/,"Bournemouth, United Kingdom",+44 (0)1202 611 612,4.85,24 reviews,$100 - $149 / hr,"$50,000+",10 - 49
Mobile App Development,mTraction Enterprise,https://enterprise.affle.com/,Singapore,8287230230,4.63,38 reviews,$25 - $49 / hr,"$25,000+",50 - 249
