Domain,Company,Website,Location,Contact,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size
Web Development,MentorMate,https://mentormate.com/,"Minneapolis, MN",+1.612.823.4000,4.71,34 reviews,$50 - $99 / hr,"$50,000+",250 - 999
Web Development,Monterail,https://www.monterail.com/services/web-application-development,"Wrocław, Poland",533600136,4.77,31 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Web Development,The NineHertz,https://theninehertz.com/,"Cincinnati, OH",13153814100,4.83,73 reviews,< $25 / hr,"$5,000+",50 - 249
Web Development,Netguru,https://www.netguru.com/services/,"Poznań, Poland",442038713389,4.79,40 reviews,$50 - $99 / hr,"$25,000+",250 - 999
Web Development,The Software House,https://tsh.io/,"Gliwice, Poland",+48 12 394 5645,4.84,51 reviews,$50 - $99 / hr,"$10,000+",50 - 249
Web Development,Capital Numbers,https://www.capitalnumbers.com/web-application-development.php,"Kolkata, India",913367992222,4.86,98 reviews,< $25 / hr,"$10,000+",250 - 999
Web Development,MLSDev,https://mlsdev.com/,"Kyiv, Ukraine",380988864542,4.6,31 reviews,$25 - $49 / hr,"$25,000+",50 - 249
Web Development,BairesDev,https://bairesdev.com/landing/c/web-development/,"San Francisco, CA",1 (408) 478-2739,4.85,40 reviews,$50 - $99 / hr,"$50,000+","1,000 - 9,999"
Web Development,Miquido,https://www.miquido.com/,"Kraków, Poland",+48 536 083 559,4.84,34 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Web Development,Yalantis,https://yalantis.com/,"Dnipropetrovs'k, Ukraine",-,4.79,35 reviews,$25 - $49 / hr,"$25,000+",250 - 999
Artificial Intelligence,MobiDev,https://mobidev.biz/,"Norcross, GA",18883800276,4.96,13 reviews,$50 - $99 / hr,"$10,000+",250 - 999
Artificial Intelligence,Unicsoft,https://unicsoft.com/artificial-intelligence-development-services/,"Kyiv, Ukraine",+1 650 515 36 99,4.92,25 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Artificial Intelligence,Deeper Insights,https://deeperinsights.com/,"London, United Kingdom",+44 207 129 7497,5.0,7 reviews,$50 - $99 / hr,"$10,000+",10 - 49
Artificial Intelligence,Tooploox,https://www.tooploox.com/,"Wrocław, Poland",48733888088,4.86,22 reviews,$50 - $99 / hr,"$50,000+",50 - 249
Artificial Intelligence,Neoteric,https://neoteric.eu/services/ai-development/,"Gdańsk, Poland",48882996846,4.92,37 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Artificial Intelligence,DataRoot Labs,https://datarootlabs.com/,"Kyiv, Ukraine",380638855724,4.95,10 reviews,$25 - $49 / hr,"$10,000+",10 - 49
Artificial Intelligence,Toptal,https://www.toptal.com/,"San Francisco, CA",(888) 604-3188,4.67,9 reviews,$100 - $149 / hr,"$50,000+","1,000 - 9,999"
Artificial Intelligence,Diffco,https://diffco.us/page/ai-new/,"Sunnyvale, CA",4156551002,5.0,11 reviews,$50 - $99 / hr,"$25,000+",10 - 49
Artificial Intelligence,Quantum,https://quantumobile.com/,"Kharkiv, Ukraine",+38 050 400 5772,5.0,11 reviews,$25 - $49 / hr,"$25,000+",50 - 249
Artificial Intelligence,nexocode,https://www.nexocode.com/,"Kraków, Poland",48123337063,4.86,7 reviews,$50 - $99 / hr,"$25,000+",10 - 49
Web Design,EIGHT25MEDIA,http://www.eight25media.com/,"San Jose, CA",4087289555,4.86,25 reviews,$100 - $149 / hr,"$25,000+",50 - 249
Web Design,Dotlogics,https://www.dotlogics.com/,"Elwood, NY",6314867589,5.0,17 reviews,$100 - $149 / hr,"$25,000+",10 - 49
Web Design,Bilberrry,https://bilberrry.com/,"Seattle, WA",206-818-7436,4.97,20 reviews,$100 - $149 / hr,"$25,000+",10 - 49
Web Design,Ruckus,https://www.ruckusmarketing.com/,"New York, NY",646.832.4603,5.0,29 reviews,$150 - $199 / hr,"$25,000+",10 - 49
Web Design,UPQODE,https://www.upqode.com/,"Nashville, TN",16156935055,4.94,41 reviews,$50 - $99 / hr,"$5,000+",10 - 49
Web Design,Jordan Crown,http://www.jordancrown.com/,"Everett, WA",(425) 407-5160,4.94,51 reviews,$150 - $199 / hr,"$25,000+",2 - 9
Web Design,Lform Design,https://lform.com/,"Montclair, NJ",9732333333,4.85,20 reviews,$150 - $199 / hr,"$25,000+",2 - 9
Web Design,Zero Negative,https://zeronegative.net/,"Boston, MA",(617) 681-4114,5.0,6 reviews,$100 - $149 / hr,"$10,000+",2 - 9
Web Design,Bop Design,https://www.bopdesign.com/,"San Diego, CA",619.330.0730,4.94,70 reviews,$150 - $199 / hr,"$25,000+",10 - 49
Web Design,Tiny Frog Technologies,https://tinyfrog.com/,"San Diego, CA",619.202.7542,4.88,54 reviews,$100 - $149 / hr,"$5,000+",10 - 49
Logo Design,ElephantMark LLC,https://www.elephantmark.com/,"Lakewood Ranch, FL",9783442870,4.88,12 reviews,$100 - $149 / hr,"$5,000+",2 - 9
Logo Design,LAB Digital Creative,https://labdigitalcreative.com/,"Memphis, TN",9014101601,5.0,4 reviews,$100 - $149 / hr,"$1,000+",2 - 9
Logo Design,Ramotion,https://ramotion-startup.webflow.io,"Burlingame, CA",,4.89,27 reviews,$100 - $149 / hr,"$25,000+",10 - 49
Logo Design,Marchio,https://hellomarchio.com/,"Los Angeles, CA",323-240-8588,5.0,3 reviews,$200 - $300 / hr,"$10,000+",2 - 9
Logo Design,Daake,https://daake.com/,"Omaha, NE",14029332959,4.97,19 reviews,$150 - $199 / hr,"$25,000+",10 - 49
